,MEDIA_KEY,0,1,2
0,2884bcd3-73f6-4694-882d-970f309b8d15.jpg,property_amenities,,
1,69d44bea-3940-46f1-bf0a-a345ab5b7ca5.jpg,guest_room,,
2,b04904d9-70b8-40e2-8949-fe49530461e7.jpg,hotel_front,,
3,903f8eae-285a-44d9-b839-f4d8d6059e65.jpg,lobby_view,,
4,80252f0d-bcbe-49b1-b43a-476af0c5d18a.jpg,interior_view,,
5,c47bf0f3-6006-4708-ab10-baaa64a4de3b.jpg,breakfast,,
6,e6fd3bff-aa10-46df-81db-ed53888c3db8.jpg,interior_view,,
7,53d745e8-ea5d-432e-b248-3baf3b1f789f.jpg,living_room,,
8,32a3222c-f44e-4227-9acd-b8727ad36d07.jpg,guest_room,,
9,9adcefd9-b323-48e0-9d8c-ace4b3f6a25f.jpg,guest_room,,
10,c05ad6d2-72a6-4762-acb1-bf2c7b66d7d1.jpg,guest_room,,
11,27c89716-a1b8-4316-8acf-0fec4941cadd.jpg,guest_room,,
12,5d7b945c-4952-4d62-94ab-485abe197fa5.jpg,guest_room,,
13,a065646b-8b94-49c6-9749-b7f27652fdb3.jpg,exterior_view,,
14,ab677943-492f-4ec1-a8d5-3b0c2df157b2.jpg,lobby_view,,
15,bfb14bb7-00f4-4977-b0fb-5fe4f3cc0f44.jpg,living_room,,
16,3b9c6957-2b1e-46c9-9f92-02e30f4e0028.jpg,guest_room,,
17,4b2d4485-c8f0-4135-9075-d442dd90829f.jpg,living_room,kitchen,
18,d8548d56-3112-4186-946c-86145d2aa067.jpg,breakfast,,
19,4d1bd327-1510-4b92-bd68-79fc6be0b98f.jpg,guest_room,,
20,cc12d267-0c31-44d2-bffb-f8c87b02b2fa.jpg,Miscellaneous,,
21,e93c388a-fd8c-40f9-b75f-bf398d10caac.jpg,restaurant,,
22,f2d7e81d-cdb0-430d-bd65-e6713731d237.jpg,Miscellaneous,,
23,49904d08-8f8f-4d0c-9c70-b9a3cccb3cca.jpg,guest_room,,
